Food_id,Food,Quantity,Measure,weight,unit,prep,GI,Water,Water (DV),Energy,Energy (DV),"Protein
(8g x body 
weight)",Protein (DV),"Total lipid 
(fat)",Total lipid (DV),Carbs,Carbs (DV),Fiber,Fiber (DV),"Sugars, 
total",Sugar (DV),Boron,Boron (DV),Calcium,Calcium (DV),Chloride,Chloride (DV),Chromium,Chromium (DV),Copper,Copper (DV),Fluoride,Fluoride (DV),Iodine,Iodine (DV),Iron,Iron (DV),Magnesium,Magnesium (DV),Manganese,Manganese (DV),Molybdenum,Molybdenum (DV),"Phosphorus, P",Phosphorus (DV),"Potassium, K",Potassium (DV),Selenium,Selenium (DV),Sodium,Sodium (DV),Zinc,Zinc (DV),Thiamin-B1,Thiamin-1 (DV),Riboflavin-B2,Riboflavin (DV),Niacin-B3,Niacin -B3 (DV),B-6,B-6 (DV),B-12,B12 (DV),Biotin-B7,Biotin-B7 (DV),Choline,"Choline
 (DV)","Folate, 
(B9)",Folate (DV),Pantothenic,"Pantothenic
 (DV)",Vitamin-C,Vitamin-C (DV),"Vitamin-A, 
RAE",Vitamin-A (DV),"Vitamin-D
 (IU)",Vitamin-D (DV),"Vitamin E 
(ATEl)",Vitamin E ATE-(DV),"Fatty acids, 
total saturated",Fatty saturated (DV),"Fatty acids, 
total mono","Fatty acids, 
total mono (DV)","Fatty acids, 
total poly","Fatty acids, 
total poly (DV)","Fatty acids, 
total trans","Fatty acids (DV)
total trans",Cholesterol,"Cholesterol 
(DV)",omega-3,"omega-3
(DV)",omega-6,"omega-6 
(DV)",Alanine,Arginine,Aspartic Acid,Cystenine,Glutamic Acid,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine
8,Walnuts_p125_cup,0.125,cup,15,grams,raw,low,0.61,0.000305,98.1,0.04905,2.285,0.040803571,9.78,0.120740741,2.055,0.00685,1.005,0.0402,0.39,0.0078,0,0,14.7,0.0147,3.6,0.0018,0,0,0.24,0.266666667,0,0,1.35,0.009,0.22,0.012222222,23.7,0.05925,0.5,0.25,4.425,0.098333333,51.9,0.074142857,66.15,0.0189,0.735,0.013363636,0.3,0.0002,0.465,0.042272727,0.05,0.041666667,0.025,0.019230769,0.17,0.010625,0.08,0.047058824,0,0,2.85,0.095,5.88,0.013835294,14.7,0.03675,0.085,0.017,0.195,0.0026,0.15,0.000166667,0,0,0.105,0.007,0.92,0.041818182,1.34,0.078823529,7.075,0.416176471,0,0,0,0,1.36,0.566666667,5.715,0.79375,0.1,0.33,0.265,0.03,0.41,0.12,0.055,0.09,0.17,0.06,0.035,0.105,0.1,0.135,0.085,0.025,0.06,0.11
9,Cashew_p125_cup,0.125,cup,20,grams,raw,low,1,0.0005,110,0.055,3.6,0.064285714,8.8,0.108641975,6,0.02,0.66,0.0264,1.2,0.024,0,0,7.4,0.0074,0,0,0,0,0.44,0.488888889,0,0,0,0,1.33,0.073888889,58,0.145,0.33,0.165,0,0,118,0.168571429,132,0.037714286,4,0.072727273,2.4,0.0016,1.15,0.104545455,0.085,0.070833333,0.01,0.007692308,0.21,0.013125,0.085,0.05,0,0,0,0,0,0,5,0.0125,0.18,0.036,0.1,0.001333333,0,0,0,0,0.18,0.012,1.55,0.070454545,4.76,0.28,1.57,0.092352941,0,0,0,0,0.01,0.004166667,1.55,0.215277778,0.15,0.32,0.65,0.07,0.84,0.17,0.09,0.15,0.25,0.17,0.06,0.17,0.15,0.2,0.12,0.05,0.09,0.2
10,flaxseeds_2_tblspn,2,tblsp,14,grams,raw,very low,0.97,0.000485,75,0.0375,2.56,0.045714286,5.9,0.072839506,4,0.013333333,3.8,0.152,0.22,0.0044,0,0,36,0.036,0,0,0,0,0.17,0.188888889,0,0,0,0,0.8,0.044444444,55,0.1375,0.35,0.175,0,0,90,0.128571429,114,0.032571429,3.56,0.064727273,4.2,0.0028,0.6,0.054545455,0.23,0.191666667,0.02,0.015384615,0.43,0.026875,0.07,0.041176471,0,0,0,0,11,0.025882353,12.2,0.0305,0.14,0.028,0.08,0.001066667,0,0,0,0,0.04,0.002666667,0.5,0.022727273,1.05,0.061764706,4,0.235294118,0,0,0,0,3.2,1.333333333,0.83,0.115277778,0.12,0.25,0.27,0.04,0.52,0.16,0.06,0.12,0.16,0.11,0.05,0.12,0.1,0.13,0.1,0.04,0.06,0.14
11,flaxseeds_1_tblspn,1,tblsp,7,grams,raw,very low,0.485,0.0002425,37.5,0.01875,1.28,0.022857143,2.95,0.036419753,2,0.006666667,1.9,0.076,0.11,0.0022,0,0,18,0.018,0,0,0,0,0.085,0.094444444,0,0,0,0,0.4,0.022222222,27.5,0.06875,0.175,0.0875,0,0,45,0.064285714,57,0.016285714,1.78,0.032363636,2.1,0.0014,0.3,0.027272727,0.115,0.095833333,0.01,0.007692308,0.215,0.0134375,0.035,0.020588235,0,0,0,0,5.5,0.012941176,6.1,0.01525,0.07,0.014,0.04,0.000533333,0,0,0,0,0.02,0.001333333,0.25,0.011363636,0.525,0.030882353,2,0.117647059,0,0,0,0,1.6,0.666666667,0.415,0.057638889,0.06,0.125,0.135,0.02,0.26,0.08,0.03,0.06,0.08,0.055,0.025,0.06,0.05,0.065,0.05,0.02,0.03,0.07
12,peanuts_p125_cup,0.125,cup,18.25,grams,raw,low,1.18,0.00059,103,0.0515,4.7,0.083928571,9,0.111111111,3,0.01,1.6,0.064,0.72,0.0144,0,0,17,0.017,1.3,0.00065,0,0,0.2,0.222222222,0,0,3.65,0.024333333,0.83,0.046111111,31,0.0775,0.35,0.175,5.4,0.12,68,0.097142857,128,0.036571429,1.3,0.023636364,3.3,0.0022,0.6,0.054545455,0.12,0.1,0.025,0.019230769,2.2,0.1375,0.065,0.038235294,0,0,3.2,0.106666667,9.6,0.022588235,44,0.11,0.32,0.064,0,0,0,0,0,0,1.52,0.101333333,1.24,0.056363636,4.46,0.262352941,2.84,0.167058824,0,0,0,0,0,0,2.84,0.394444444,0.185,0.56,0.57,0.06,0.975,0.28,0.12,0.165,0.305,0.17,0.055,0.24,0.205,0.23,0.16,0.045,0.19,0.195
12,peanuts_p25_cup,0.25,cup,36.5,grams,raw,low,2.36,0.00118,206,0.103,9.4,0.167857143,18,0.222222222,6,0.02,3.2,0.128,1.44,0.0288,0,0,34,0.034,2.6,0.0013,0,0,0.4,0.444444444,0,0,7.3,0.048666667,1.66,0.092222222,62,0.155,0.7,0.35,10.8,0.24,136,0.194285714,256,0.073142857,2.6,0.047272727,6.6,0.0044,1.2,0.109090909,0.24,0.2,0.05,0.038461538,4.4,0.275,0.13,0.076470588,0,0,6.4,0.213333333,19.2,0.045176471,88,0.22,0.64,0.128,0,0,0,0,0,0,3.04,0.202666667,2.48,0.112727273,8.92,0.524705882,5.68,0.334117647,0,0,0,0,0,0,5.68,0.788888889,0.37,1.12,1.14,0.12,1.95,0.56,0.24,0.33,0.61,0.34,0.11,0.48,0.41,0.46,0.32,0.09,0.38,0.39
13,brazilnuts_2_numbers,2,medium,10,grams,raw,low,3.42,0.00171,660,0.33,14.32,0.255714286,67,0.827160494,11.74,0.039133333,7.5,0.3,2.33,0.0466,0,0,160,0.16,0,0,0,0,1.74,1.933333333,0,0,0,0,2.43,0.135,376,0.94,1.22,0.61,0,0,725,1.035714286,659,0.188285714,191.7,3.485454545,3,0.002,4,0.363636364,0.62,0.516666667,0.04,0.030769231,0.3,0.01875,0.1,0.058823529,0,0,0,0,28.8,0.067764706,22,0.055,0.18,0.036,0.7,0.009333333,0,0,0,0,5.65,0.376666667,16.13,0.733181818,23.88,1.404705882,24.4,1.435294118,0,0,0,0,0.04,0.016666667,24.36,3.383333333,0.55,1.95,1.21,0.28,2.9,0.67,0.37,0.47,1.08,0.45,1.02,0.58,0.64,0.62,0.33,0.12,0.38,0.69
14,Brazilnuts_100gm,10,medium,100,grams,dried,low,17.1,0.00855,3300,1.65,71.6,1.278571429,335,4.135802469,58.7,0.195666667,37.5,1.5,11.65,0.233,0,0,800,0.8,0,0,0,0,8.7,9.666666667,0,0,0,0,12.15,0.675,1880,4.7,6.1,3.05,0,0,3625,5.178571429,3295,0.941428571,958.5,17.42727273,15,0.01,20,1.818181818,3.1,2.583333333,0.2,0.153846154,1.5,0.09375,0.5,0.294117647,0,0,0,0,144,0.338823529,110,0.275,0.9,0.18,3.5,0.046666667,0,0,0,0,28.25,1.883333333,80.65,3.665909091,119.4,7.023529412,122,7.176470588,0,0,0,0,0.2,0.083333333,121.8,16.91666667,2.75,9.75,6.05,1.4,14.5,3.35,1.85,2.35,5.4,2.25,5.1,2.9,3.2,3.1,1.65,0.6,1.9,3.45
15,Brazilnuts_1_medium,1,medium,5,grams,dried,low,1.71,0.000855,330,0.165,7.16,0.127857143,33.5,0.413580247,5.87,0.019566667,3.75,0.15,1.165,0.0233,0,0,80,0.08,0,0,0,0,0.87,0.966666667,0,0,0,0,1.215,0.0675,188,0.47,0.61,0.305,0,0,362.5,0.517857143,329.5,0.094142857,95.85,1.742727273,1.5,0.001,2,0.181818182,0.31,0.258333333,0.02,0.015384615,0.15,0.009375,0.05,0.029411765,0,0,0,0,14.4,0.033882353,11,0.0275,0.09,0.018,0.35,0.004666667,0,0,0,0,2.825,0.188333333,8.065,0.366590909,11.94,0.702352941,12.2,0.717647059,0,0,0,0,0.02,0.008333333,12.18,1.691666667,0.275,0.975,0.605,0.14,1.45,0.335,0.185,0.235,0.54,0.225,0.51,0.29,0.32,0.31,0.165,0.06,0.19,0.345
15,Brazilnuts_p5_medium,0.5,medium,2.5,grams,dried,low,0.855,0.0004275,165,0.0825,3.58,0.063928571,16.75,0.206790123,2.935,0.009783333,1.875,0.075,0.5825,0.01165,0,0,40,0.04,0,0,0,0,0.435,0.483333333,0,0,0,0,0.6075,0.03375,94,0.235,0.305,0.1525,0,0,181.25,0.258928571,164.75,0.047071429,47.925,0.871363636,0.75,0.0005,1,0.090909091,0.155,0.129166667,0.01,0.007692308,0.075,0.0046875,0.025,0.014705882,0,0,0,0,7.2,0.016941176,5.5,0.01375,0.045,0.009,0.175,0.002333333,0,0,0,0,1.4125,0.094166667,4.0325,0.183295455,5.97,0.351176471,6.1,0.358823529,0,0,0,0,0.01,0.004166667,6.09,0.845833333,0.1375,0.4875,0.3025,0.07,0.725,0.1675,0.0925,0.1175,0.27,0.1125,0.255,0.145,0.16,0.155,0.0825,0.03,0.095,0.1725
16,pinenuts_p25_cup,0.25,cup,28,grams,raw,low,0,0,191,0.0955,3.88,0.069285714,19,0.234567901,3.71,0.012366667,1,0.04,1,0.02,0,0,4.54,0.00454,0,0,0,0,0.374,0.415555556,0,0,0,0,1.57,0.087222222,71,0.1775,2.5,1.25,0,0,163,0.232857143,169,0.048285714,0.2,0.003636364,0.567,0.000378,1.83,0.166363636,0.103,0.085833333,0.064,0.049230769,1.24,0.0775,0.027,0.015882353,0,0,0,0,15.8,0.037176471,9.64,0.0241,0.089,0.0178,0.227,0.003026667,0.284,0.000315556,0,0,2.64,0.176,1.39,0.063181818,5.33,0.313529412,9.67,0.568823529,0,0,0,0,0,0,0,0,0.194,0.683,0.369,0.082,0.831,0.196,0.097,0.154,0.281,0.153,0.073,0.149,0.191,0.237,0.105,0.03,0.144,0.195
17,pinenuts_p125_cup,0.125,cup,14,grams,raw,low,0.323,0.0001615,95.5,0.04775,1.94,0.034642857,9.5,0.117283951,1.855,0.006183333,0.5,0.02,0.5,0.01,0,0,2.27,0.00227,0,0,0,0,0.187,0.207777778,0,0,0,0,0.785,0.043611111,35.5,0.08875,1.25,0.625,0,0,81.5,0.116428571,84.5,0.024142857,0.1,0.001818182,0.2835,0.000189,0.915,0.083181818,0.0515,0.042916667,0.032,0.024615385,0.62,0.03875,0.0135,0.007941176,0,0,0,0,7.9,0.018588235,4.82,0.01205,0.0445,0.0089,0.1135,0.001513333,0.142,0.000157778,0,0,1.32,0.088,0.695,0.031590909,2.665,0.156764706,4.835,0.284411765,0,0,0,0,0,0,0,0,0.097,0.3415,0.1845,0.041,0.4155,0.098,0.0485,0.077,0.1405,0.0765,0.0365,0.0745,0.0955,0.1185,0.0525,0.015,0.072,0.0975
18,sesame_seeds_p06_cup,0.06,cup,9,grams,raw,very low,0.10625,0.000053125,12.875,0.0064375,0.39875,0.007120536,1.125,0.013888889,0.5275,0.001758333,0.265625,0.010625,0.006875,0.0001375,0,0,21.9375,0.0219375,0.225,0.0001125,0,0,0.091875,0.102083333,0,0,0,0,0.3275,0.018194444,7.8975,0.01974375,0.055625,0.0278125,0.66375,0.01475,14.1525,0.020217857,10.53,0.003008571,0.77375,0.014068182,0.2475,0.000165,0.175,0.015909091,0.0175,0.014583333,0.005625,0.004326923,0.101875,0.006367188,0.0175,0.010294118,0,0,0.2475,0.00825,0.57625,0.001355882,2.1825,0.00545625,0.00125,0.00025,0,0,0.01,1.11E-05,0,0,0.005625,0.000375,0.15625,0.007102273,0.421875,0.024816176,0.49,0.028823529,0,0,0,0,0.00875,0.003645833,0.480625,0.066753472,0.018125,0.0525,0.0325,0.006875,0.07875,0.024375,0.010625,0.015,0.026875,0.01125,0.011875,0.01875,0.01625,0.019375,0.014375,0.0075,0.015,0.019375
19,almond_p25_cup,0.125,cup,23,grams,raw,low,1.1,0.00055,132,0.066,4.9,0.0875,11.4,0.140740741,5,0.016666667,2.8,0.112,0.9,0.018,0,0,60.7,0.0607,4.1,0.00205,0,0,0.23,0.255555556,0,0,0.46,0.003066667,0.86,0.047777778,61.6,0.154,0.53,0.265,6.8,0.151111111,111.3,0.159,162,0.046285714,0.57,0.010363636,0.23,0.000153333,0.71,0.064545455,0.05,0.041666667,0.23,0.176923077,0.03,0.001875,0.03,0.017647059,0,0,14.7,0.49,12,0.028235294,11.5,0.02875,0.11,0.022,0,0,0.01,1.11E-05,0,0,6.03,0.402,0.86,0.039090909,7.1,0.417647059,2.78,0.163529412,0,0,0,0,0,0,2.77,0.384722222,0.21,0.51,0.6,0.04,1.4,0.3,0.12,0.15,0.31,0.12,0.03,0.23,0.21,0.2,0.12,0.04,0.09,0.17
20,almond_p125_cup,0.0625,cup,11.5,grams,raw,low,0.55,0.000275,66,0.033,2.45,0.04375,5.7,0.07037037,2.5,0.008333333,1.4,0.056,0.45,0.009,0,0,30.35,0.03035,2.05,0.001025,0,0,0.115,0.127777778,0,0,0.23,0.001533333,0.43,0.023888889,30.8,0.077,0.265,0.1325,3.4,0.075555556,55.65,0.0795,81,0.023142857,0.285,0.005181818,0.115,7.67E-05,0.355,0.032272727,0.025,0.020833333,0.115,0.088461538,0.015,0.0009375,0.015,0.008823529,0,0,7.35,0.245,6,0.014117647,5.75,0.014375,0.055,0.011,0,0,0.005,5.56E-06,0,0,3.015,0.201,0.43,0.019545455,3.55,0.208823529,1.39,0.081764706,0,0,0,0,0,0,1.385,0.192361111,0.105,0.255,0.3,0.02,0.7,0.15,0.06,0.075,0.155,0.06,0.015,0.115,0.105,0.1,0.06,0.02,0.045,0.085
21,Pistachio_2_tblspn,2,tblsp,15.01501502,grams,raw,low,0.587087087,0.000293544,84.38438438,0.042192192,3.043543544,0.054348992,6.815315315,0.084139695,4.130630631,0.013768769,1.322822823,0.052912913,1.15015015,0.023003003,0,0,15.76576577,0.015765766,0,0,0,0,0.195195195,0.21688355,0,0,0,0,0.588588589,0.032699366,18.16816817,0.04542042,0.18018018,0.09009009,0,0,73.57357357,0.105105105,153.9039039,0.043972544,1.051051051,0.019110019,0.15015015,0.0001001,0.33033033,0.03003003,0.130630631,0.108858859,0.024024024,0.018480018,0.195195195,0.0121997,0.255255255,0.15015015,0,0,0,0,0,0,7.657657658,0.019144144,0.078078078,0.015615616,0.840840841,0.011211211,3.153153153,0.003503504,0,0,0.345345345,0.023023023,0.834834835,0.037947038,3.576576577,0.210386857,2.063063063,0.121356651,0,0,0,0,0.039039039,0.016266266,2.025525526,0.28132299,0.136636637,0.3003003,0.27027027,0.054054054,0.569069069,0.142642643,0.075075075,0.133633634,0.231231231,0.171171171,0.051051051,0.157657658,0.121621622,0.183183183,0.100600601,0.040540541,0.061561562,0.186186186
22,Pistachio_1_cup,0.8,cup,100,grams,raw,low,3.91,0.001955,562,0.281,20.27,0.361964286,45.39,0.56037037,27.51,0.0917,8.81,0.3524,7.66,0.1532,0,0,105,0.105,0,0,0,0,1.3,1.444444444,0,0,0,0,3.92,0.217777778,121,0.3025,1.2,0.6,0,0,490,0.7,1025,0.292857143,7,0.127272727,1,0.000666667,2.2,0.2,0.87,0.725,0.16,0.123076923,1.3,0.08125,1.7,1,0,0,0,0,0,0,51,0.1275,0.52,0.104,5.6,0.074666667,21,0.023333333,0,0,2.3,0.153333333,5.56,0.252727273,23.82,1.401176471,13.74,0.808235294,0,0,0,0,0.26,0.108333333,13.49,1.873611111,0.91,2,1.8,0.36,3.79,0.95,0.5,0.89,1.54,1.14,0.34,1.05,0.81,1.22,0.67,0.27,0.41,1.24
